Restaurant_Name,Address,Latitude,Longitude,Cuisines,Aggregate_Rating,Rating_Text,Has_Online_Delivery,Radius,AppName,Time,Phone
Shivu's Donne Biryani,"Chickka Devasandra, KR Puram, Bangalore",,,South Indian,NA,,Yes,5,Zomato,4,8305000065
Mr Manchurian,soul space Arena mall Outer Ring Raod Doddanakundi Ban,,,Chinese,3.3,,Yes,3,Zomato,4,7280432666
Melange - Hotel Park Plaza,"Hotel Park Plaza, 90/4, Outer Ring Road, Munnekollaly Village, M",,,"North Indian, Continental, Chinese, South Indian",3.8,,Yes,3,Zomato,4,8820476925
M Cafe - Bengaluru Marriott Hotel Whitefield,"Bengaluru Marriott Hotel, 75, 8th Road, EPIP Area, Whitefield",,,"North Indian, South Indian, American",3.9,,Yes,4,Zomato,4,7054418965
Karibu - The Zuri,"The Zuri Hotels, 244 Hoody Village, Rajapalya, ITPL Road, Whitefield",,,"North Indian, Continental",3.6,,Yes,3,Zomato,4,8550464236
Crunch Pizzas,"712, 6th Cross, 5th Main, Off 80 Feet Road, Indiranagar, Ban",,,"Italian, Pizza",3.4,,Yes,3,Zomato,4,7648991855
Limelight - Royal Orchid Hotel,"Royal Orchid Hotel, 1, Golf Arcade, HAL, Old Airport Road, Bangalore",,,"Continental, North Indian",3.5,,Yes,3,Zomato,4,7864423416
20 Char - Sterlings MAC Hotel,"Matthan Hotel, 134, HAL Old Airport Road, Old Airport Road",,,"Chinese, Continental, North Indian, South Indian, Arabian",3.5,,Yes,1,Zomato,4,8183948709
Tiffin Room - Holiday Inn & Suites,"Holiday Inn & Suites Bangalore, 100/6, Whitefield, Bangalo",,,"North Indian, South Indian, Asian",3.4,,Yes,5,Zomato,4,7031145987
The Eatery - Four Points by Sheraton Bengaluru,"Four Points by Sheraton Bengaluru, 43/3, Whitefield Main Road, Whitefield",,,"Continental, North Indian",3.6,,Yes,2,Zomato,4,7859982851
Cafe Palmyra,"Palm Meadows Club, Ramagondana Halli, Varthur Road, Whitefield",,,"Chinese, North Indian, Continental",3.8,,Yes,5,Zomato,4,8135075825
re:cess,"Hilton Bangalore Embassy GolfLinks, Embassy Golf Links Busine",,,"South Indian, North Indian, Continental, European",3.6,,Yes,5,Zomato,4,7741150099
Latitude - Vivanta By Taj,"Vivanta By Taj, ITPB, Whitefield, Bangalore",,,"North Indian, Continental, Asian, Italian",3.6,,Yes,4,Zomato,4,7771525266
Chez Nous - Novotel,"Novotel Bengaluru Techpark, Opposite RMZ Ecospace Busin",,,"European, French, North Indian",3.6,,Yes,5,Zomato,4,8670144744
Ackley Kitchen,"29/2, 3rd Main Road, 2nd 'B' Cross, Nagappa Reddy Layout, Kagg",,,"Burger, Continental, Italian, Beverages",3.4,,Yes,5,Zomato,4,8424966995
Midnight Hunger Solutions 24/7,"17, 17th F Main, CMH Road, Indiranagar, Bangalore",,,"North Indian, Mughlai, Chinese",1.9,,Yes,2,Zomato,4,8475149879
Citrus Cafe - Lemon Tree Hotel,"Lemon Tree Hotel, 23, EPIP Zone, Near I Gate Company, Whitefield, Bangalore",,,"North Indian, Continental, South Indian, Asian",3.5,,Yes,2,Zomato,4,7070161968
Zodiac,"Fortune Select Trinity, 134/136, EPIP Area Road-1, Whitefield, Bangal",,,"Italian, Mexican, Mediterranean, North Indian, Continental",2.8,,Yes,2,Zomato,4,8010673869
Grab n Go - Aloft Hotel,"Aloft Hotel, 17C, Sadaramangala Road, Whitefield, Bangal",,,"American, Fast Food",2.9,,Yes,2,Zomato,4,8901687768
Utopia,"5, Ajandri Crest Shopping Complex, Beside Axis Bank ATM, Ne",,,"North Indian, Chinese",2.4,,Yes,3,Zomato,4,7553388165
Brunch Pizza,"Near Indiranagar Metro Station, Indiranagar, Bangalore",,,Pizza,2.6,,Yes,5,Zomato,4,7787872548
La Mirch,"21, Goshala Road, Ferns City, Doddanekkundi, Marathahalli, ",,,North Indian,NA,,Yes,4,Zomato,4,8826899721
Jhanhavi Restaurant,"CKB Layout Munnekolala, Marathahalli, Bangalore",,,"North Indian, Chinese",NA,,Yes,1,Zomato,4,7331895936
Walk - N - Rolls,"No. 27, 16th Cross, CMH Road, Lakshmipuram, Halasuru, Indiran",,,"Biryani, Pizza, Street Food, Rolls",NA,,Yes,3,Zomato,4,8296862418
Leaf It To Me,"180, 4th Main Road, Stage 2, Domlur, Bangalore",,,"Healthy Food, Beverages",NA,,Yes,2,Zomato,4,8268033720
